text,id,media,rotulo_gpt,rotulo_maritaca
Dit is een gerucht en gaat over eind 2023,1588137964827279364,0.0029957788,NÃO,NÃO
Mato Grosso\nDa capital do agronegócio brasileiro..,1593629710591741952,0.00013205485,NÃO,NÃO
O Artigo 10 da Lei dos Direitos Humanos protege seu direito..,1619288106984931328,0.00089237055,NÃO,NÃO
espero q esses bolsonaristas sem vergonha tomem um tiro..,1612290188859801603,0.98470187,SIM,SIM
"Bolsonaristas seus filho da puta, já chega, agora minha mulher tá preocupada..",1587473974107193344,0.97732079,SIM,SIM
"Tem q meter é muita bala na cara desses bando de filho da puta em Brasília. Golpistas, terroristas!",1612227491015393281,0.9760479,SIM,SIM
"🔴👉 Además, el gobernador bolsonarista de Brasilia..",1612534328348516355,0.0027043179249999,NÃO,NÃO
Se fosse negros brigando por respeito duvido que iam usar só água neles..,1612168005139456002,0.98470187,SIM,SIM
"Tomem bomba e bala seus vagabundos, bolsonaristas criminosos, terroristas!\nEsplanada! Brasília! Intervenção que vcs querem? Terão! Cadeia é muito pouco!",1612182108381892608,0.98470187,SIM,SIM
Segundo informações; José Múcio disse que as manifestações são legítimas por serem pacíficas,1610646315888689152,0.0014254855,NÃO,NÃO
"Capelli, un alto funcionario del Ministerio de Justicia, asumió el comando de todas las fuerzas de seguridad de Brasilia..",1612448028492791815,0.002636942023,NÃO,NÃO
@Nelsinho_Hoff @2006Rodrigho @MarironiM @GayerGus Estavam lá fazendo o que?..,1612745951348772866,0.98470187,SIM,SIM
"pobre e preto jurando q vai ter intervenção militar, vai pro caralho maluco cê vai morrer kkkkkkjkkkk",1587369772823547905,0.98470187,SIM,SIM
"As manifestações estão ocorrendo por todo o país, nossos comandantes precisam tomar uma decisão, não podemos continuar por longo tempo nesta situação",1589358743489167361,0.002886515,NÃO,NÃO
Porrada nesses terroristas de Brasília,1612207183436865536,0.98553735,SIM,SIM
Quando aconteceu a invasão do capitólio eu já sabia q ia acontecer no Brasil..,1612184629670281216,0.98470187,SIM,SIM
"procuradores e advogados em colegiado universal;\n9. Não ter participado de manifestações públicas com teor político;\n10. Não ter participado de direção de sindicato, conselhos de classe ou federações nós últimos dez anos",1614281426043641856,0.002128257,NÃO,NÃO
"Bater em Professor, durante manifestações por melhores condições de trabalho e salários; e, matar pretos e pobres!",1612248046485520385,0.98431622,SIM,SIM
Nada para nada ??,1591041667834212355,0.0029497591099999,NÃO,
"• suas manifestações estão chegando. em um futuro próximo você vai ver os resultados. persista;\n\n• algumas instabilidades passageiras podem aparecer. fique tranquilo, você vai conseguir superar facilmente;\n\n• casais estarão passando por uma nova fase mais estável e clara",1617618179739783170,0.00268408215,NÃO,NÃO
Oq eu quero ver é a intervenção militar dando chute na bunda dos bolsominion,1609391312096169986,0.97664368,SIM,SIM
"🇺🇸 🇨🇳 Senador do Missouri Eric Schmitt: Estou pedindo uma investigação e exigindo respostas do administrador Biden sobre por que um balão espião chinês foi autorizado a pairar sobre a infraestrutura militar crítica no Missouri e no interior dos EUA sem qualquer intervenção""",1622825514191802369,0.000152084615,NÃO,NÃO
"Bandidos terroristas Bolsonaristas estão queimando ônibus e carros, depredando e tentando invadir a sede da Polícia Federal em Brasília. \nComo são terroristas, só levaram spray de pimenta na cara.\n\nSe fossem professores, levariam bala de borracha e bomba de gás lacrimogêneo. https://t.co/xdf9Rqzo3L",1602677286184026113,0.98234112,SIM,SIM
@AndreaDeCastro @lazarorosa25 https://t.co/SjWq0gr6YS,1618432929692266500,0.00299484147,NÃO,NÃO
"La vicepresidenta de los EEUU Kamala Harris condena el ataque a instituciones gubernamentales en la capital brasileña, Brasilia, después de tomar juramento a la nueva embajadora de Estados Unidos en Brasil, Elizabeth Bagley",1612972475570180096,0.002613912986,NÃO,NÃO
"@nanaulopes Tivemos um grande fluxo de solicitações devido as manifestações nas rodovias.\nPedimos desculpas, te chamamos no DM para auxiliá-lo",1590401367889289217,0.002501371,NÃO,NÃO
@CelsoQuintas https://t.co/iXPcgnklXJ,1613515270177300480,0.00296050305,NÃO,NÃO
"Anderson Torres, ex ministro de Justicia de Jair Bolsonaro, fue detenido este sábado en Brasilia en conexión con el violento ataque a la capital el 8 de enero, Torres fungía como Secretario de Seguridad de la capital el día que miles arrasaron las sedes del poder público",1614674722519764993,0.002640272855,NÃO,NÃO
"@GayerGus Na véspera do Natal a turma que vc defende tentou explodir uma bomba no aeroporto de Brasília.\n\nMataria crianças, mulheres, idosos, todos inocentes.\n\nTerroristas, fascistas, milicianos!",1614375052429987842,0.976944595,SIM,SIM
ENFIA ESSE NGC D INTERVENÇÃO MILITAR NO CU BOLSONARISTAS VÃO TUDO SE FUDE ENFIA UMA TORA NO CU D CADA UM,1612227779373764608,0.97798727,SIM,SIM
"Após o fracasso do governo Dutra, várias manifestações do povo, de intelectuais e políticos a favor do retorno de Getúlio (que havia se afastado da política como dito na aula anterior), faz com que Getúlio retorne à cena e dispute as eleições de 1950",1612139391660527624,5.2877618e-05,NÃO,NÃO
O objetivo é discutir e receber manifestações orais e escritas acerca da quarta norma do Regulamento das Concessões Rodoviárias (RCR 4),1620403316231667712,0.00027073268,NÃO,NÃO
"Terça-feira provavelmente Trump está de volta à cena do congresso americano. Dia 9 sai o relatório, as manifestações vai surtir efeito",1589743458356727808,0.0021031915,NÃO,NÃO
"As manifestações nas rodovias de SC estão prejudicando o sistema de saúde. De acordo com o governo do estado, os principais problemas estão na distribuição de vacinas e medicamentos. Os veículos de transporte não estão conseguindo chegar ao destino",1587473927940587527,0.0028268078,NÃO,NÃO
