text,id,media
"Joel Pinheiro indaga a Janaína Paschoal na CNN Brasil: ""O fato da pessoa com um cartaz pedindo intervenção militar,para a senhora como jurista, não é crime?"" Janaína responde:"" Eu entendo que não, pois se eu posso pedir legalização de drogas e aborto não seria considerado crime"".",1623834089869529089,
"No dia 8 de janeiro, data dos atentados em Brasília, o governador do DF realizou diversas ligações e trocou mensagens com autoridades e jornalistas. Em uma das mensagens, ele foi cobrado pela presidente do Supremo, Rosa Weber, após os terroristas invadirem o Congresso. https://t.co/8dN3CWct8c",1623834066695909378,
"Questionado por Rosa Weber durante ataque dos radicais em Brasília, Ibaneis respondeu: 'Estamos cuidando' (via @fausto_macedo) https://t.co/kfu8aqXlsw",1623834028863283200,
"@FLAocta64 @AndreySzpk @moura_101 Oque o Bolsonaro fez pelo impeachment, compara com oque o MBL fez.\nA maior participação foi pedir intervenção militar, e dar munição pro PT",1623834006931271682,
STF reserva má notícia a Bolsonaro.\n1 - O Supremo Tribunal Federal (STF) reserva má notícia a Bolsonaro em decorrência dos atos antidemocráticos nos Três Poderes em 8 de janeiro. +\nhttps://t.co/uEpW5rD701,1623833892242223104,
"Tem uns queridos aqui na rua de casa que o ano inteiro produzem fantasias e adereços pra várias manifestações culturais, agora eles estão montando uma fantasia pro rainha das rainhas, um dia tentei conversar da porta deles e as gays super inacessíveis, adoraria fazer amizade gay",1623833887242592257,
"O Roberto Campos Neto estava naquele grupo ""ministros do Bolsonaro"", na rede social, junto com Ânderson Torres, mesmo após os atos terroristas na Praça dos 3 Poderes, em Brasília.\nE alguém vai acreditar que o presidente do Banco Central é independente? https://t.co/bKG5z93k9J",1623833808163295237,
"""O comportamento das Recuperandas nestes autos tem demonstrado muito o contrário: em verdade, em diversos momentos, beira o descaso para com o procedimento recuperacional e para com o Juízo, que deu diversas oportunidades para suas manifestações”, diz trecho da decisão.\n…",1623833803490750466,
"Pra variar, o descondenado MENTIU sobre não ter sido avisado sobre a possibilidade de manifestações violentas. No relatório, a Abin informava que havia identificado a convocação de caravanas em diversos estados do país para que se deslocassem à capital. 👇🧵 https://t.co/FqXUUmok2J",1623833555922042886,
@TerraBrasilnot Estava claro desde o primeiro dia. Tudo orquestrado para acabar com as manifestações.,1623833529728610305,
Leia mais: \n\nhttps://t.co/i6s1sa772v,1623833490138574853,
"Documento mostra que GSI avisou ao governo federal sobre invasão de 8 de janeiro, em Brasília https://t.co/OWH6IMA0jL",1623833481296879619,
https://t.co/Bh9lZKPj64,1623833468084928513,
"TSE NÃO entregou os códigos-fontes para provar a vitoria do Lula,tem 280 mil urnas irregulares, Moraes esta dando uma de ditador, infiltrados nas manifestações com provas e por isso Lula ñ quer CPI, presos inocentes, suspeita de farsa Yanomamis e dossiê plantado. CADÊ AS FFAA?",1623833426003460096,
"Urgente\nO governo foi informado oficialmente das manifestações de 8 de janeiro. Grupos violentos com intenção de invadir a sede dos poderes (os já conhecidos vândalos infiltrados)\nExigimos da Justiça tratamento isônomo para Flávio Dino,  como foi para  Anderson Torres e outros! https://t.co/Kt4bxWFlbw",1623833376913338369,
"Uma bolsonarista no coração do BID\n\nDiretora do BID desde maio de 2022, Martha Seillier não observou o código de ética e apoiou os atos antidemocráticos de 7 de setembro de 2022.\nhttps://t.co/38bFKle2jt https://t.co/UrrrNTVsfW",1623833345179230208,
"@dricachalela A esquerda o recibo q Micheque Bozonazi apresentou, justificando a retirada das moedas onde estavam as CARPAS que vieram a morrer. Obs : RECIBO datado de 08/01/23 , quando ela e o genocida estavam na Flórida e dia da invasão terrorista em Brasília. https://t.co/6jvo4FAZ50",1623833338187333632,
https://t.co/uxmFpYAn4R,1623833306910322688,
VÍDEO: Ministra COMUNISTA de Lula propõe manifestações contra o Banco Central https://t.co/IfWxQuEjga,1623833124990775299,
intervenção militar eh isso que queremos!!!!!,1623833109366964224,
"🚨CURIOSO: O recibo de doação das moedas do Alvorada que Michelle Bolsonaro destinou para uma instituição católica ocorreu no dia 08/01, mesma data dos atentados terroristas em Brasília. O valor destinado para essa igreja foi de R$ 2,2 mil.\n\n🗞️Metrópoles",1623833057554841603,
@SandraS31895103 @Estadao E as manifestações do ódio do bosunaro eles não diziam nada.\nLixo de jornal 👹💩💩👺,1623833006925398017,
